Process	Genes
negative regulation of axonogenesis	AATK ARHGAP4 ARHGDIA ARHGEF1 BCL11A CDK5 CDK5R1 DAB1 DCC DRAXIN EPHB2 FGF13 GDI1 LINGO1 LRP4 MAG MBP MT3 NGFR NRP1 NTN1 OMG PLXNA3 PSEN1 PTEN PTK2 PTPRO RHOA RNF6 RTN4 RTN4R RUFY3 SEMA3A SEMA3F SEMA4F SEMA5A SLIT1 SLIT2 SPG20 SPP1 SYNGAP1 THY1 TNR ULK1 ULK2 WNT3 WNT3A WNT5A
positive regulation of axonogenesis	AMIGO1 ANAPC2 APOE ARHGDIA BCL11A BMPR2 CDKL5 CXCL12 DIXDC1 DSCAM FN1 ILK ISLR2 IST1 LIMK1 LPAR3 MAP1B MAPT MEGF8 METRN NDEL1 NEFL NGF NGFR NRP1 NTN1 NTRK2 NTRK3 PAFAH1B1 PLXNB1 PLXNB2 RAB11A RHOA RND2 ROBO1 ROBO2 SEMA4D SEMA5A SEMA7A SHOX2 SKIL SLIT2 STK11 STK25 TIAM1 TNFRSF12A TRPV2 TWF2 VEGFA WNT3 WNT3A
regulation of dendrite development	ACHE ACTR3 ANAPC2 APOE ARF6 BCL11A BHLHB9 BMP5 BMP7 CAMK1 CAMK1D CAMK2B CAPRIN1 CAPRIN2 CDC20 CDK5 CDK5R1 CDKL5 CFL2 CHRNA3 CHRNB2 CIT COBL CPEB3 CRP CUL7 CUX1 CUX2 DAB2IP DBN1 DCC EFNA1 EPHA4 FAT3 FBXW8 GORASP1 GRIN1 GSK3B IL1RAPL1 IL2 ILK ITPKA KIAA0319 KNDC1 LPAR1 LRP8 LRRK2 LZTS1 MEF2A MEF2C NEDD4 NEURL1 NEUROG3 NGEF NLGN1 NLGN3 NR2E1 NSMF NTRK2 NUMBL OBSL1 PACSIN1 PALM PDLIM5 PQBP1 PREX1 PTEN PTPRD RAB17 RAP2A RAPGEF2 RELN RHOA SARM1 SDC2 SEMA4D SEZ6 SHANK1 SHANK3 SIPA1L1 SKOR2 SMAD1 SRCIN1 SRGAP2C SS18L1 TLX2 TNIK VLDLR YWHAH
negative regulation of dendrite morphogenesis	CIT EFNA1 GORASP1 GSK3B NGEF PTEN RAPGEF2 TLX2 YWHAH
positive regulation of dendrite morphogenesis	ACTR3 ANAPC2 BHLHB9 CAMK2B CAPRIN1 CAPRIN2 CDKL5 CUL7 CUX1 CUX2 EPHA4 FBXW8 IL1RAPL1 ILK ITPKA LRP8 NUMBL OBSL1 PTPRD RELN SMAD1
negative regulation of immune response	A2M ABR ADCYAP1 ALOX15 AMBP APOA1 APOA2 ARRB2 BCL6 BCR BST2 C10ORF54 C4BPA C4BPB CACTIN CCR2 CD300A CD46 CD55 CD59 COL3A1 CR1 CTLA4 DHX58 DNAJA3 DUSP10 FCRLB FER FOXF1 FOXJ1 FOXP3 GPX1 GPX2 HLA-A HLA-B HLA-DRB1 HLA-E HLX HMOX1 IFI16 IFNA2 IFNB1 IFNL1 IL10 IL12B IL1RL1 IL20RB IL27RA IL2RA IL33 IL4 IL4R IL7R INPP5D INS IRAK3 IRG1 JAK3 LGALS3 LILRB1 LYN MASP1 MUL1 NDFIP1 NLRC5 NLRP6 NLRX1 NOD2 NR1H2 NR1H3 OLFM4 PGLYRP1 PGLYRP2 PGLYRP3 PGLYRP4 PPARG PPP3CB PSMB4 PTPN2 PTPN6 PTPRC RABGEF1 RC3H1 RPS19 SAMSN1 SERPING1 SH2D1B SOCS5 SPINK5 SPN STAT6 TGFB1 TGFB2 TGFB3 THOC1 TNF TNFAIP3 TNFSF4 TRAFD1 TRIM27 TYRO3 VIMP XCL1
RNA destabilization	CNOT6L CPEB3 DXO METTL14 METTL3 MEX3D TNFRSF1B ZFP36
regulation of viral process	ADAR ADARB1 APCS APOBEC3A APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOBEC3H BCL2 BST2 BTBD17 C9ORF69 CCL3 CCL4 CCL5 CCNH CCNT1 CD28 CDK7 CDK9 CHMP2A CHMP3 CHMP4B CHMP4C CTDP1 CXCL8 DDX5 DICER1 EIF2AK2 ELL EP300 ERCC2 ERCC3 FAM111A GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 GTF2H4 HDAC1 HMGA2 HPN HS3ST5 IFI16 IFIT1 IFITM1 IFITM2 IFITM3 IFNA2 IFNB1 IFNL3 ILF3 INPP5K ISG15 ISG20 JUN LEF1 MAVS MBL2 MDFIC MID2 MNAT1 MX1 NCBP1 NCBP2 NELFA NELFB NELFCD NELFE NR5A2 OAS1 OAS3 OASL PARP10 PLSCR1 PM20D1 PML POLR2A POLR2B POLR2C POLR2D POLR2E POLR2F POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L POU2F3 PPIA PPID PPIE PPIH PROX1 PTX3 RAD23A REST RNASEL RSAD2 RSF1 SLPI SMARCA4 SMARCB1 SNW1 SNX3 SP1 SP100 SRPK1 SRPK2 SSRP1 SUPT16H SUPT4H1 SUPT5H TAF11 TARBP2 TARDBP TCEA1 TCEB1 TCEB2 TCEB3 TFAP4 TMPRSS2 TNF TNIP1 TOP2A TRIM10 TRIM11 TRIM13 TRIM14 TRIM15 TRIM21 TRIM25 TRIM26 TRIM27 TRIM28 TRIM31 TRIM32 TRIM35 TRIM38 TRIM5 TRIM56 TRIM59 TRIM62 TRIM8 VAPB VPS4B YTHDC2 ZC3HAV1 ZNF639
regulation of behavior	ADA ADAM10 ADAM17 ADORA1 ADORA2A AGER AGRP AHI1 AIF1 ALB ANGPT2 ANKRD26 ARRDC3 ARTN AZU1 BMPR2 C1QBP C3AR1 C5 C5AR2 CALR CAMK1D CASR CCL19 CCL2 CCL21 CCL3 CCL4 CCL5 CCL7 CCR1 CCR2 CCR4 CCR7 CD74 CDH13 CFAP20 CHRNB2 CMKLR1 CNR1 CNTNAP4 CREB3 CRH CRHR1 CXCL10 CXCL12 CXCL13 CXCL8 CXCR3 CXCR4 DLG4 DRD2 DRD3 DSCAM E9PQ18 EDN1 EDN2 EDN3 EDNRA EFNB2 ELANE F2RL1 F3 F7 FGF10 FIGF GAS6 GHRH GHRL GJA1 GPR124 GREM1 HOXA1 HRG HSPB1 HTR1A HTR1B HTR1D HTR2A HTR2B IL16 IL23A IL6 IL6R INS ITGA2 JAM3 KDR LBP LPAR1 LYN MC4R MDK MEF2A MEF2C MEGF8 MET MMP28 MPP1 MTUS1 NBL1 NCKAP1L NOD2 NOTCH1 NPY2R NR2C2 NRP1 NTF3 NTRK3 PADI2 PDGFB PDGFRA PDGFRB PER3 PLA2G7 PLXNA3 PLXNA4 PPM1F PRKCA PRKD1 PRKD2 PTGDS PTK2B PTPN2 PTPRO QRFP RAC1 RAC2 RARRES2 RELN RETN ROBO1 ROBO2 S100A14 S100A7 S1PR1 SCG2 SEMA3A SEMA3F SEMA5A SERPINE1 SGIP1 SLIT1 SLIT2 SMAD3 STRA6 TACR3 TGFB1 THBS1 THBS4 TIRAP TMEM102 TNFSF14 TRH UCN USP14 UTS2 UTS2R VEGFA VEGFB VEGFC WNT3 WNT3A WNT5A XCL1 ZNF580
regulation of insulin secretion	AACS ABCC8 ACVR1C ADRA2A ADRA2C AKAP5 ARNTL ARRB1 BAD BIRC5 BLK BMP8A BRSK2 CACNA1A CACNA1C CACNA1D CACNA1E CACNA2D2 CAPN10 CARTPT CASR CCL5 CD38 CDK16 CHRM3 CLOCK CNR1 CPT1A CRH DOC2B DRD2 EFNA5 ENSA EPHA5 FAM132A FAM3D FFAR1 FKBP1B FOXA2 G6PC2 GCG GCK GHRL GHSR GIP GIPR GLP1R GLUD1 GLUL GNAS GPER1 GPLD1 GPR68 HADH HIF1A HLA-DRB1 HMGCR HMGN3 HNF4A IFNG IL1B INHBB INS IQGAP1 IRS1 IRS2 ISL1 ITPR1 ITPR2 ITPR3 JAK2 KCNA5 KCNB1 KCNC2 KCNG2 KCNJ11 KCNQ1 KCNS3 LEP LRP5 MARCKS MCU MGEA5 MTNR1B MYRIP NDUFAF2 NEUROD1 NKX6-1 NNAT NOS2 NPFF NR0B2 NR1D1 OXCT1 PARK2 PCK2 PCSK1 PDE3B PDE8B PDX1 PER2 PFKFB2 PFKL PFKM PHPT1 PIM3 PLA2G6 PPARD PPP3CA PPP3CB PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCE PSMD9 PTPN11 RAP1A RAP1B RAPGEF3 RAPGEF4 RBP4 REST RFX3 RFX6 SEC11A SEC11C SERP1 SFRP1 SIDT2 SIRT4 SLC16A1 SLC25A4 SLC25A5 SLC25A6 SLC2A1 SLC2A2 SLC30A8 SLC8B1 SNAP25 SOX4 SPCS1 SPCS2 SPCS3 SREBF1 SRI SSTR5 STX1A STXBP1 STXBP5L SYBU SYT5 SYT7 SYT9 SYTL4 TCF7L2 TFAP2B TMEM27 TNF TRH UCN3 UCP2 UQCC2 UTS2 VAMP2
activated T cell proliferation	BTN3A1 CADM1 CRTAM FYN ITGAD ITGAL ITGAM SATB1
negative regulation of synaptic transmission	ABHD6 ACHE ADIPOQ ADORA1 ADRA1A ARF1 ASIC1 ATAD1 BCHE BDNF BRAF CD38 CNR2 DRD1 DRD2 DRD5 GNAI2 GPM6B GRID2IP GRIK1 GRIK2 GRIK3 HTR1B HTR2A HTR6 MGLL NF1 NOS1 NPY2R NPY5R PICK1 PLA2G6 PLK2 PTEN PTGS2 RAP1A RAP1B SHANK2 SLC24A2 SLC30A1 SLC6A1 SLC6A4 SNCA SRF STXBP1 SYT11 TNR
positive regulation of synaptic transmission	ADCYAP1 ADORA2A ARRB2 BRAF CA2 CA7 CCL2 CHRNB2 CRH CRHR1 DKFZP686L0365 DLG4 DRD1 DRD2 DRD4 DTNBP1 EGFR EGR1 GFAP GIP GLUL GPER1 GRIK1 GRIK2 HAP1 HTR6 IFNG ITPR3 KISS1 KISS1R LAMA2 LGI1 LRRTM1 LRRTM2 MECP2 NAT8L NLGN1 NLGN2 NLGN3 NMU NPS NPTN NR2E1 NRXN1 NTRK1 NTRK2 OXT OXTR PINK1 PLK2 PRKCE PRKCZ PTEN PTGS2 PTK2B RAB3B RELN RETN RGS14 S100B SERPINE2 SHANK2 SHANK3 SLC1A3 SLC24A2 SNAP25 SNAP47 SNCA SPHK1 STX1A STX1B STX3 SYDE1 SYNJ1 SYT1 TAC1 TACR1 TACR2 TNF TNR TOR1A UNC13A UNC13B UTS2 VAMP2
regulation of synapse organization	AGRN ANAPC2 ARHGEF15 ASIC2 BDNF BHLHB9 C1QL3 CAMK1 CAMK2B CBLN1 CBLN2 CDC20 CDC42 CHRNB2 CTNNA2 CUX2 DAB2IP DISC1 DMPK DRD2 EPHA5 EPHB1 EPHB2 EPHB3 ETV5 FRMPD4 GHRL GHSR GRIN1 KLK8 LPHN1 LRRC4 LRRC4B MECP2 MEF2A MEF2C MUSK NCAN NEDD4 NEURL1 NEUROD2 NLGN1 NLGN2 NLGN3 NRXN1 NRXN3 OXT OXTR PDLIM5 PTK2 PVRL1 RAB17 RELN ROBO2 SHANK3 SIX1 SIX4 SLIT1 SRPX2 SYNDIG1 THBS2 UBE2V2 WNT5A WNT7A
synapse organization	ACHE AFG3L2 AGRN ALS2 ANK3 APP ATP2B2 CACNA1A CACNA1S CACNA2D2 CACNB2 CACNB4 CACNG2 CADM1 CDH1 CDK5 CHAT CHRNA1 COL4A1 COL4A5 CTNNB1 DACT1 DBNL DNAJA3 DNER DNM3 DOK7 DRD1 DRD2 DVL1 ELFN1 ERBB2 F2R FARP1 FBXO45 FGFR2 GJA10 GLRA2 GNPAT GPHN GPM6A KLK8 KY LAMB2 LRP4 LRRC4 LRRK2 LRRTM1 LRRTM2 MECP2 MUSK MYO5A MYO6 NEDD4 NFASC NLGN1 NLGN2 NLGN3 NLGN4X NLGN4Y NRCAM NRD1 NRG1 NRXN1 NRXN2 NRXN3 NTRK2 P2RX2 PAK1 PAK3 PALM PCDHB10 PCDHB11 PCDHB13 PCDHB14 PCDHB16 PCDHB2 PCDHB3 PCDHB4 PCDHB5 PCDHB6 PCDHB9 PDZRN3 PLXND1 POU4F1 PTEN RAB39B SEMA3E SEZ6 SEZ6L SEZ6L2 SHANK1 SHANK2 SHANK3 SLC9A6 SLITRK6 SNCA SNCB SNCG SNTA1 SPOCK2 SPTBN2 TG TNC TNR TSC1 UNC13A UNC13B WNT7A WNT7B ZC4H2
regulation of steroid biosynthetic process	ABCG1 AKR1C3 APOB APOE ATP1A1 BMP2 BMP5 BMP6 CYP17A1 CYP27B1 CYP7A1 DDX20 DHCR7 DHH DKK3 FGF1 FGF19 FGFR4 GFI1 IFNG IGF1R IGF2 IGFBP7 IL1B INSIG1 INSIG2 LEP LHCGR MALRD1 NFKB1 NR1D1 NR1H4 NR3C1 NR5A1 PDE8B PEX2 POR PRKAA1 PROX1 REST SCAP SEC14L2 SF1 SIRT1 SNAI1 SNAI2 SOD1 SREBF1 STAR TNF TSPO VDR WNT4
regulation of acyl-CoA biosynthetic process	DLAT DLD PDHA1 PDHB PDHX PDK1 PDK2 PDK3 PDK4 PDP1 PDP2 PDPR SNCA
coagulation	A2M ABCC4 ABL1 ACTB ACTN1 ACTN2 ACTN4 ADORA2A ADRA2A ADRA2B ADRA2C AK3 AKAP1 AKAP10 AKT1 ALB ALDOA AMICA1 ANGPT1 ANGPT2 ANGPT4 ANO6 ANXA5 ANXA8 AP3B1 APBB1IP APOA1 APOB APP ARRB1 ARRB2 ATP1B1 ATP1B2 ATP1B3 ATP2A1 ATP2A2 ATP2A3 ATP2B1 ATP2B2 ATP2B3 ATP2B4 BCAR1 BLOC1S3 BLOC1S6 BRPF3 BSG C1QBP C4BPB CABLES1 CALM1 CALU CAP1 CAPZA1 CAPZA2 CAPZB CAV1 CBX5 CD177 CD2 CD244 CD36 CD44 CD47 CD48 CD58 CD59 CD63 CD84 CD9 CDC42 CDK2 CDK5 CENPE CFD CFL1 CLU COL1A1 COL1A2 CPB2 CRK CSK CXADR CYP4F11 CYP4F2 DAGLA DAGLB DGKA DGKB DGKD DGKE DGKG DGKH DGKI DGKK DGKQ DGKZ DOCK1 DOCK11 DOCK6 DOCK8 DOCK9 DOK2 DTNBP1 EFEMP2 EGF EHD1 EHD2 EHD3 ENPP4 ENTPD1 ESAM F10 F11 F11R F12 F13A1 F13B F2 F2R F2RL1 F2RL2 F2RL3 F3 F5 F7 F8 F9 FBLN5 FCER1G FGA FGB FGG FGR FIGF FLNA FN1 FYN G6B GAS6 GATA1 GATA2 GATA3 GATA4 GATA5 GATA6 GGCX GLG1 GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAQ GNAS GNAT3 GNB1 GNG2 GP1BA GP1BB GP5 GP6 GP9 GRB14 GRB2 GRB7 GUCY1A2 GUCY1A3 GUCY1B2 GUCY1B3 H3F3A HABP4 HBB HBD HBE1 HBG1 HBG2 HDAC1 HDAC2 HGF HIST1H3A HIST2H3A HMG20B HNF4A HPS1 HPS4 HPS5 HPS6 HRAS HRG HSPA5 IFNA1 IFNA10 IFNA14 IFNA16 IFNA17 IFNA2 IFNA21 IFNA4 IFNA5 IFNA6 IFNA7 IFNA8 IFNB1 IGF1 IGF2 INPP5D IRF1 IRF2 ITGA1 ITGA10 ITGA2 ITGA2B ITGA3 ITGA4 ITGA5 ITGA6 ITGAL ITGAM ITGAV ITGAX ITGB1 ITGB2 ITGB3 ITPK1 ITPR1 ITPR2 ITPR3 JAK2 JAM2 JAM3 JMJD1C K7ELZ0 KCNMA1 KCNMB1 KCNMB2 KCNMB3 KCNMB4 KDM1A KIAA1715 KIF11 KIF15 KIF18A KIF22 KIF23 KIF26A KIF2A KIF2B KIF2C KIF3A KIF3B KIF3C KIF4A KIF4B KIF5A KIF9 KIFAP3 KIFC1 KLC1 KLC2 KLKB1 KNG1 KRAS L1CAM LAMP2 LAT LCK LCP2 LEFTY2 LMAN1 LNP LRP8 LRRC16A LYN LYST MAFF MAFG MAFK MAG MAPK1 MAPK14 MAPK3 MERTK MFN2 MGLL MMP1 MMRN1 MPL MRVI1 MYB NBEAL2 NFE2 NOS1 NOS2 NOS3 NRAS OLR1 ORAI1 P2RX1 P2RY1 P2RY12 PABPC4 PAPSS2 PDE10A PDE11A PDE1A PDE1B PDE2A PDE3A PDE3B PDE5A PDE9A PDGFA PDGFB PDPK1 PECAM1 PF4 PFN1 PHF21A PIK3CA PIK3CB PIK3CG PIK3R1 PIK3R2 PIK3R5 PIK3R6 PLA2G4A PLAT PLAU PLAUR PLCG1 PLCG2 PLEK PLG POTEKP PPBP PPIA PPIL2 PRCP PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCQ PRKCZ PRKG1 PRKG2 PROC PROCR PROS1 PROZ PSAP PTGIR PTK2 PTPN1 PTPN11 PTPN6 RAB27A RAB5A RAC1 RAC2 RACGAP1 RAD51B RAD51C RAF1 RAP1A RAP1B RAPGEF3 RAPGEF4 RASGRP1 RASGRP2 RCOR1 RHOA RHOB RHOG SCG3 SCUBE1 SELE SELL SELP SELPLG SERPINA1 SERPINA10 SERPINB2 SERPINC1 SERPIND1 SERPINE1 SERPINE2 SERPINF2 SERPING1 SH2B1 SH2B2 SH2B3 SHC1 SHH SIN3A SIRPA SIRPG SLC16A1 SLC16A3 SLC16A8 SLC3A2 SLC7A10 SLC7A11 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9 SLC8A1 SLC8A2 SLC8A3 SOD1 SOS1 SPARC SPN SRC SRGN STIM1 STX4 STXBP3 SYK TBXA2R TEK TF TFPI TFPI2 TGFB1 TGFB2 TGFB3 THBD THBS1 THPO TIMP1 TLN1 TMSB4X TP53 TREM1 TRPC3 TRPC6 TRPC7 TTN TUBA4A VAV1 VAV2 VAV3 VCL VEGFA VEGFB VEGFC VKORC1 VPS45 VWF WAS WDR1 WEE1 YES1 YWHAZ ZFPM1 ZFPM2 ZFYVE20
regulation of coagulation	ADAMTS18 ALOX12 ANO6 ANXA2 ANXA4 ANXA5 APOE APOH ASIC2 C1QTNF1 CAV1 CD34 CD36 CLEC4M CPB2 CYP4F12 CYP4F2 DMTN E9PLN8 EDN1 ENPP4 F11 F12 F2 F2R F2RL1 F3 F7 FAM46A FCER1G FGA FOXA2 GP1BA GP5 HPSE HRG HS3ST5 KLKB1 KNG1 KRT1 LBH LYN NFE2L2 NOS3 PDGFA PDGFB PDGFRA PDPN PLAT PLAU PLAUR PLEK PLG PRKCA PRKCD PRKCQ PRKG1 PROC PROCR PROS1 PSEN1 PSEN2 SCARA5 SELP SERPINB2 SERPINC1 SERPINE1 SERPINE2 SERPINF2 SERPING1 STAB2 STX2 STXBP5 SYK TC2N TEC THBD THBS1 TLR4 TMPRSS6 TSPAN8 UBASH3B USF1 VAV2 VTN
negative regulation of coagulation	ADAMTS18 ALOX12 ANXA2 ANXA4 ANXA5 APOE APOH C1QTNF1 CD34 CPB2 CYP4F12 CYP4F2 EDN1 F11 F12 F2 FGA GP1BA GP5 HRG HS3ST5 KLKB1 KNG1 KRT1 NOS3 PDGFA PDGFB PDGFRA PLAT PLAU PLAUR PLG PRKCD PRKG1 PROC PROCR PROS1 SERPINB2 SERPINE1 SERPINE2 SERPINF2 SERPING1 THBD TMPRSS6 TSPAN8 UBASH3B VTN
positive regulation of coagulation	ANO6 APOH CD36 CPB2 DMTN ENPP4 F12 F2 F2R F3 F7 HPSE HRG NFE2L2 PDPN PLEK PLG PSEN1 PSEN2 SELP SERPINE1 SERPINF2 THBD THBS1 TLR4 USF1
protein stabilization	A1CF AAK1 AHSP ANK2 APOA1 ATP1B1 ATP1B2 ATP1B3 BAG3 BAG6 C10ORF90 CALR CDKN2A CHEK2 CHP1 CLU COG3 COG7 CPN2 CREB1 CREBL2 CRTAP CSN3 DNAJA3 DSC3 DSG1 FBXW7 FLNA FLOT2 GAPDH GNAQ GOLGA7 GPIHBP1 GTPBP4 HCFC1 HIST1H1B HPS4 HSPA1A HSPD1 IFI30 IFT46 LAMP1 LAMP2 LEPRE1 MDM4 MORC3 MSX1 MT3 MUL1 NAA15 NAA16 NAPG NCKAP1 PARK7 PEX19 PEX6 PIM2 PML PPAP2B PPARGC1A PPIB PRKCD PTEN RASSF1 SMAD3 SMAD7 SMO SOX17 SOX4 STX12 STXBP1 STXBP4 SWSAP1 TAF9 TAF9B TBRG1 TCF3 TESC TNIP2 TSC1 TSPAN1 UBE2B USP13 USP2 VHL WFS1 WIZ WNT10B ZBED3 ZNF207 ZSWIM7
defense response to Gram-negative bacterium	AZU1 CAMP CD160 CD4 DROSHA IGHM IL12B IL22RA1 IL23A IL23R IL6 IL6R LBP MMP7 NLRP10 NOS2 OPTN PELI3 PRB3 PYCARD RNASE7 S100A7 SELP SERPINE1 SLC11A1 SSC5D TLR4 TLR9 TNFRSF14
defense response to Gram-positive bacterium	ACP5 C5AR1 CAMP CARD9 CD36 CRP DEFA1 DEFA3 DEFB1 DROSHA FAU FGR H2BFS HCK HIST1H2BC HIST1H2BJ HIST1H2BK HIST2H2BE IL12A IL27RA IL6 IL6R LBP LTA MBL2 MMP7 MYD88 MYO1F NOD1 NOD2 PGLYRP1 PGLYRP2 PGLYRP3 PGLYRP4 PLA2G1B PLA2G2A PLD1 REG3G RIPK2 RNASE3 RNASE7 RPL39 SEH1L SPACA3 SSC5D TBK1 TIRAP TLR2 TNF TNFAIP8 TNFRSF14 TNFSF8
defense response to fungus	CLEC6A COTL1 CTSG DCD DEFA1 DEFA3 DEFA4 DEFA5 DEFA6 GNLY HAMP HRG HTN1 HTN3 IL36RN LTF MPO NLRP10 S100A12 S100A8 S100A9 SPON2 TGFB1
regulation of calcium-mediated signaling	ADA ADORA3 AKAP6 ATP2B4 CCL3 CCL4 CD3E CD4 CD8A CDH13 CHP1 CHP2 CIB1 CMKLR1 CMYA5 DRD4 FCER1A GPR143 IGF1 ITGAL ITPR1 L1CAM LMCD1 NEUROD2 NFAT5 P2RX2 P2RX3 P2RX4 P2RX5 PLEK PRNP RGN SLA2 SYK TMBIM4 TRAT1 TREM2 ZAP70
positive regulation of calcium-mediated signaling	ADA ADORA3 AKAP6 CCL3 CCL4 CD3E CD4 CD8A CDH13 CHP2 CIB1 FCER1A IGF1 ITGAL L1CAM LMCD1 NEUROD2 P2RX2 P2RX3 P2RX4 P2RX5 SYK TRAT1 TREM2 ZAP70
antigen receptor-mediated signaling pathway	BAX BCAR1 BCL10 BCL2 BLK BTK BTN3A1 CACNB3 CACNB4 CARD11 CD19 CD247 CD28 CD38 CD3D CD3E CD3G CD4 CD79A CD79B CHUK CSK CTLA4 ENAH FOXP3 FYB FYN GATA3 GRAP2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB3 HLA-DRB4 HLA-DRB5 IKBKB IKBKG INPP5D ITK KLHL6 LAT LAT2 LAX1 LCK LCP2 LIME1 LYN MALT1 MAP3K7 MAPK1 MEF2A MEF2C MNDA NCK1 NCKAP1L NFAM1 NFATC2 NFKB1 NFKBIA P01737 P04436 PAG1 PAK1 PAK2 PDE4B PDE4D PDPK1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PLCG1 PLCG2 PLEKHA1 PRKCB PRKCQ PRKD2 PSEN1 PSEN2 PTEN PTPN22 PTPN6 PTPRC RBCK1 RELA RFTN1 RIPK2 RLTPR RNF31 RPS27A SH2B2 SKAP1 SLA2 SPG21 STK11 STOML2 SYK TAB2 TCRA TCRB TEC THEMIS THEMIS2 THY1 TNFRSF21 TRAC TRAF6 TRAT1 TRBC1 TRBV12-3 TXK UBA52 UBB UBC UBE2N UBE2V1 V9GYV3 VASP VAV3 WAS ZAP70
T cell receptor signaling pathway	BCAR1 BCL10 BTN3A1 CACNB3 CACNB4 CARD11 CD247 CD28 CD3D CD3E CD3G CD4 CHUK CSK ENAH FOXP3 FYB FYN GATA3 GRAP2 HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB3 HLA-DRB4 HLA-DRB5 IKBKB IKBKG INPP5D ITK LAT LCK LCP2 LIME1 MALT1 MAP3K7 MAPK1 NCK1 NFKB1 NFKBIA P01737 P04436 PAG1 PAK1 PAK2 PDE4B PDE4D PDPK1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PLCG1 PLCG2 PRKCQ PRKD2 PSEN1 PSEN2 PTEN PTPN22 PTPRC RBCK1 RELA RFTN1 RIPK2 RLTPR RNF31 RPS27A SKAP1 STK11 STOML2 TAB2 TCRA TCRB THEMIS THEMIS2 THY1 TNFRSF21 TRAC TRAF6 TRAT1 TRBC1 TRBV12-3 TXK UBA52 UBB UBC UBE2N UBE2V1 V9GYV3 VASP WAS ZAP70
B cell receptor signaling pathway	BAX BCAR1 BCL2 BLK BTK CD19 CD38 CD79A CD79B CTLA4 KLHL6 LAT2 LCK LIME1 LYN MAPK1 MEF2A MEF2C MNDA NCKAP1L NFAM1 NFATC2 PIK3CD PLCG2 PLEKHA1 PRKCB PTPN6 PTPRC RFTN1 SYK TEC V9GYV3 VAV3
regulation of antigen receptor-mediated signaling pathway	ADA BCL10 BTNL2 CBLB CCR7 CD300A CMTM3 DUSP3 ELF1 FCRL5 GCSAM KCNN4 LCK LGALS3 LPXN LYN MALT1 NFAM1 PAWR PHPT1 PLCL2 PRKCB PRKCH PRKD2 PRNP PTPN2 PTPN22 PTPN6 PTPRC PTPRJ RC3H1 TESPA1 THY1 TRAT1 UBASH3A
regulation of B cell receptor signaling pathway	CD300A CMTM3 FCRL5 GCSAM LPXN LYN NFAM1 PLCL2 PRKCB PRKCH PTPN22 PTPN6 PTPRC
regulation of T cell receptor signaling pathway	ADA BCL10 BTNL2 CBLB CCR7 CD300A DUSP3 ELF1 KCNN4 LCK LGALS3 MALT1 PAWR PHPT1 PRKD2 PRNP PTPN2 PTPN22 PTPN6 PTPRJ RC3H1 TESPA1 THY1 TRAT1 UBASH3A
positive regulation of antigen receptor-mediated signaling pathway	ADA CCR7 CMTM3 KCNN4 LCK LYN NFAM1 PRKCB PRKCH PRKD2 PTPRC TESPA1 TRAT1
negative regulation of antigen receptor-mediated signaling pathway	BTNL2 CBLB CD300A DUSP3 ELF1 FCRL5 LGALS3 LPXN PAWR PHPT1 PLCL2 PRNP PTPN2 PTPN22 PTPN6 PTPRJ THY1 UBASH3A
negative regulation of T cell receptor signaling pathway	BTNL2 CBLB DUSP3 ELF1 LGALS3 PAWR PHPT1 PRNP PTPN2 PTPN22 PTPN6 PTPRJ THY1 UBASH3A
